support,pattern,pattern_str
0.13159684498505209,"['食品', '服装']",食品→服装
0.02233258256093875,"['食品', '服装', '电子产品']",食品→服装→电子产品
0.022329846907148333,"['食品', '服装', '食品']",食品→服装→食品
0.022488790011101736,"['食品', '服装', '服装']",食品→服装→服装
0.03404291282508976,"['食品', '办公']",食品→办公
0.13083134754275078,"['食品', '食品']",食品→食品
0.022189583948012348,"['食品', '食品', '食品']",食品→食品→食品
0.022162891089430092,"['食品', '食品', '电子产品']",食品→食品→电子产品
0.02231827298726579,"['食品', '食品', '服装']",食品→食品→服装
0.06396180328017192,"['食品', '家居']",食品→家居
0.05048378742299519,"['食品', '玩具']",食品→玩具
0.13075665933808217,"['食品', '电子产品']",食品→电子产品
0.022170175374670854,"['食品', '电子产品', '食品']",食品→电子产品→食品
0.02228369691332298,"['食品', '电子产品', '服装']",食品→电子产品→服装
0.02215544493118398,"['食品', '电子产品', '电子产品']",食品→电子产品→电子产品
0.033077486033880374,"['食品', '运动户外']",食品→运动户外
0.033525032519072726,"['食品', '母婴']",食品→母婴
0.03260841043897644,"['食品', '汽车用品']",食品→汽车用品
0.03425783161429328,"['服装', '办公']",服装→办公
0.05084343686628236,"['服装', '玩具']",服装→玩具
0.132519990547264,"['服装', '服装']",服装→服装
0.02248582773510383,"['服装', '服装', '电子产品']",服装→服装→电子产品
0.02262701337037031,"['服装', '服装', '服装']",服装→服装→服装
0.022508473768552327,"['服装', '服装', '食品']",服装→服装→食品
0.13159406076936006,"['服装', '电子产品']",服装→电子产品
0.022482897833706987,"['服装', '电子产品', '服装']",服装→电子产品→服装
0.022292033373098517,"['服装', '电子产品', '食品']",服装→电子产品→食品
0.0222899937732311,"['服装', '电子产品', '电子产品']",服装→电子产品→电子产品
0.13166269492362856,"['服装', '食品']",服装→食品
0.022306181073766126,"['服装', '食品', '电子产品']",服装→食品→电子产品
0.022490165931647214,"['服装', '食品', '服装']",服装→食品→服装
0.022329345100831746,"['服装', '食品', '食品']",服装→食品→食品
0.03280746567365564,"['服装', '汽车用品']",服装→汽车用品
0.03375592817390431,"['服装', '母婴']",服装→母婴
0.03328711157580894,"['服装', '运动户外']",服装→运动户外
0.0643808924910237,"['服装', '家居']",服装→家居
0.033993865304468636,"['办公', '食品']",办公→食品
0.03423680431089828,"['办公', '服装']",办公→服装
0.0339941728631788,"['办公', '电子产品']",办公→电子产品
0.13148097628782238,"['电子产品', '服装']",电子产品→服装
0.022470482174196622,"['电子产品', '服装', '服装']",电子产品→服装→服装
0.022289265344707026,"['电子产品', '服装', '电子产品']",电子产品→服装→电子产品
0.022293198858737037,"['电子产品', '服装', '食品']",电子产品→服装→食品
0.050472294439615324,"['电子产品', '玩具']",电子产品→玩具
0.13067392604504768,"['电子产品', '食品']",电子产品→食品
0.022168669955721098,"['电子产品', '食品', '食品']",电子产品→食品→食品
0.022093690379642865,"['电子产品', '食品', '电子产品']",电子产品→食品→电子产品
0.022285720325889855,"['电子产品', '食品', '服装']",电子产品→食品→服装
0.03257731463464866,"['电子产品', '汽车用品']",电子产品→汽车用品
0.1306019411195684,"['电子产品', '电子产品']",电子产品→电子产品
0.022142851211367734,"['电子产品', '电子产品', '电子产品']",电子产品→电子产品→电子产品
0.022299220534536066,"['电子产品', '电子产品', '服装']",电子产品→电子产品→服装
0.02214851676655499,"['电子产品', '电子产品', '食品']",电子产品→电子产品→食品
0.03304810608340931,"['电子产品', '运动户外']",电子产品→运动户外
0.033969244420354865,"['电子产品', '办公']",电子产品→办公
0.06393182439958105,"['电子产品', '家居']",电子产品→家居
0.03351294060557306,"['电子产品', '母婴']",电子产品→母婴
0.05080502440211275,"['玩具', '服装']",玩具→服装
0.05049568508888843,"['玩具', '食品']",玩具→食品
0.050452529745662056,"['玩具', '电子产品']",玩具→电子产品
0.02460395219741229,"['玩具', '家居']",玩具→家居
0.03329418542614274,"['运动户外', '服装']",运动户外→服装
0.03301191127941299,"['运动户外', '电子产品']",运动户外→电子产品
0.033061768165060866,"['运动户外', '食品']",运动户外→食品
0.06399072998622801,"['家居', '食品']",家居→食品
0.031185562909248343,"['家居', '家居']",家居→家居
0.06434026236668079,"['家居', '服装']",家居→服装
0.024604583502133154,"['家居', '玩具']",家居→玩具
0.06389920698900298,"['家居', '电子产品']",家居→电子产品
0.03257334874601758,"['汽车用品', '食品']",汽车用品→食品
0.03279453202052815,"['汽车用品', '服装']",汽车用品→服装
0.03258372480566053,"['汽车用品', '电子产品']",汽车用品→电子产品
0.03350180374280497,"['母婴', '电子产品']",母婴→电子产品
0.03370848319603616,"['母婴', '服装']",母婴→服装
0.03352648937612088,"['母婴', '食品']",母婴→食品
